编号	名称	地点	X	Y	道具	图标
1	itd_d01_01_01	弗拉达利研究所	1509	291	全满药	bag-回复
2	itd_d01_01_02	弗拉达利研究所	1111	681	活力块	bag-回复
3	itd_d01_01_03	弗拉达利研究所	889	936	雷之石	bag-道具
4	itd_d01_01_04	弗拉达利研究所	910	1240	特防增强剂	bag-道具
5	itd_d01_01_05	弗拉达利研究所	269	1432	日之石	bag-道具
6	itd_d01_01_06	弗拉达利研究所	1173	1599	高级球	bag-精灵球
7	itd_d01_01_07	弗拉达利研究所	1476	1384	火之石	bag-道具
8	itd_d01_01_08	弗拉达利研究所	1826	1003	金珠	bag-宝物
9	itd_d01_01_09	弗拉达利研究所	1631	1312	全复药	bag-回复
10	itd_d01_01_10	弗拉达利研究所	910	1836	特攻增强剂	bag-道具
11	itd_d01_01_11	弗拉达利研究所	833	1924	高级球	bag-精灵球
12	itd_d01_01_12	弗拉达利研究所	735	1394	觉醒之石	bag-道具
13	itd_d01_01_13	弗拉达利研究所	540	1136	神奇糖果	bag-道具
14	itd_d01_01_14	弗拉达利研究所	756	936	活力块	bag-回复
15	itd_d01_01_15	弗拉达利研究所	1224	956	神奇糖果	bag-道具
16	itd_d01_01_16	弗拉达利研究所	1811	1358	招式学习器０９０	bag-招式学习器
17	itd_d01_01_41	弗拉达利研究所	1846	1467	研究所的钥匙卡Ａ	bag-重要物品
18	itd_d01_01_42	弗拉达利研究所	668	1965	研究所的钥匙卡Ｂ	bag-重要物品
19	itd_d01_01_43	弗拉达利研究所	1139	1130	研究所的钥匙卡Ｃ	bag-重要物品
20	itd_d01_01_46	弗拉达利研究所	1459	220	电梯钥匙	bag-重要物品
21	itd_d01_01_52	弗拉达利研究所	-1428	1821	经验糖果Ｌ	bag-道具
