编号	形态	最低等级	最高等级	头目概率	头目最低等级	头目最高等级
1	013-0	5	8	0	5	8
2	016-0	5	8	0	5	8
3	069-0	9	12	0	9	12
4	129-0	10	13	0	10	13
5	167-0	10	13	0	10	13
6	406-0	10	13	0	10	13
7	504-0	11	14	0	11	14
8	568-0	11	14	0	11	14
9	661-0	5	8	0	5	8
10	669-0	9	12	0	9	12
11	669-1	9	12	0	9	12
12	669-2	9	12	0	9	12
13	669-3	9	12	0	9	12
14	669-4	9	12	0	9	12
15	702-0	15	18	0	15	18
16	702-0	15	18	20	25	28
17	702-0	15	18	40	25	28
18	172-0	10	13	0	10	13
19	173-0	10	13	0	10	13
20	014-0	7	10	0	7	10
21	015-0	10	13	0	10	13
22	017-0	18	21	0	18	21
23	018-0	36	39	0	36	39
24	023-0	11	14	0	11	14
25	664-6	5	8	0	5	8
26	665-6	9	12	0	9	12
27	666-6	12	15	0	12	15
28	659-0	11	14	0	11	14
29	662-0	17	20	0	17	20
30	663-0	35	38	0	35	38
31	677-0	12	15	0	12	15
32	670-0	19	22	0	19	22
33	670-1	19	22	0	19	22
34	670-2	19	22	0	19	22
35	670-3	19	22	0	19	22
36	670-4	19	22	0	19	22
37	063-0	17	20	0	17	20
38	353-0	18	21	0	18	21
39	092-0	14	17	0	14	17
40	093-0	25	28	0	25	28
41	333-0	15	18	0	15	18
42	280-0	10	13	0	10	13
43	280-0	10	13	20	20	23
44	280-0	10	13	40	20	23
45	511-0	13	16	0	13	16
46	511-0	23	26	0	23	26
47	513-0	13	16	0	13	16
48	513-0	23	26	0	23	26
49	515-0	13	16	0	13	16
50	515-0	23	26	0	23	26
51	682-0	16	19	0	16	19
52	682-0	26	29	0	26	29
53	684-0	16	19	0	16	19
54	133-0	14	17	0	14	17
55	303-0	18	21	0	18	21
56	447-0	15	18	0	15	18
57	447-0	15	18	20	25	28
58	447-0	15	18	40	25	28
59	147-0	28	29	0	28	29
60	147-0	28	29	20	38	39
61	147-0	28	29	40	38	39
62	148-0	30	32	0	30	32
63	148-0	30	32	20	40	42
64	148-0	30	32	40	40	42
65	704-0	35	39	0	35	39
66	704-0	35	39	20	45	49
67	704-0	35	39	40	45	49
68	705-0	40	42	0	40	42
69	705-0	40	42	20	50	52
70	705-0	40	42	40	50	52
71	701-0	21	24	0	21	24
72	701-0	21	24	20	31	34
73	701-0	21	24	40	31	34
74	587-0	17	20	0	17	20
75	559-0	20	23	0	20	23
76	714-0	19	22	0	19	22
77	168-0	22	25	0	22	25
78	225-0	30	33	0	30	33
79	246-0	20	23	0	20	23
80	246-0	20	23	20	30	33
81	246-0	20	23	40	30	33
82	359-0	16	19	0	16	19
83	359-0	16	19	20	26	29
84	359-0	16	19	40	26	29
85	688-0	14	16	0	14	16
86	560-0	40	42	0	40	42
87	013-0	6	8	0	6	8
88	016-0	6	8	0	6	8
89	069-0	10	12	0	10	12
90	129-0	11	13	0	11	13
91	167-0	11	13	0	11	13
92	406-0	11	13	0	11	13
93	504-0	12	14	0	12	14
94	568-0	12	14	0	12	14
95	661-0	6	8	0	6	8
96	669-0	10	12	0	10	12
97	669-1	10	12	0	10	12
98	669-2	10	12	0	10	12
99	669-3	10	12	0	10	12
100	669-4	10	12	0	10	12
101	702-0	16	18	0	16	18
102	702-0	16	18	20	26	28
103	702-0	16	18	40	26	28
104	172-0	11	13	0	11	13
105	173-0	11	13	0	11	13
106	014-0	8	10	0	8	10
107	015-0	11	13	0	11	13
108	017-0	19	21	0	19	21
109	018-0	37	39	0	37	39
110	023-0	12	14	0	12	14
111	024-0	22	24	0	22	24
112	664-6	6	8	0	6	8
113	665-6	10	12	0	10	12
114	666-6	13	15	0	13	15
115	659-0	12	14	0	12	14
116	662-0	18	20	0	18	20
117	663-0	36	38	0	36	38
118	677-0	13	15	0	13	15
119	670-0	20	22	0	20	22
120	670-1	20	22	0	20	22
121	670-2	20	22	0	20	22
122	670-3	20	22	0	20	22
123	670-4	20	22	0	20	22
124	063-0	18	20	0	18	20
125	353-0	19	21	0	19	21
126	092-0	15	17	0	15	17
127	093-0	26	28	0	26	28
128	333-0	16	18	0	16	18
129	280-0	11	13	0	11	13
130	280-0	11	13	20	21	23
131	280-0	11	13	40	21	23
132	511-0	14	16	0	14	16
133	513-0	14	16	0	14	16
134	515-0	14	16	0	14	16
135	682-0	17	19	0	17	19
136	684-0	17	19	0	17	19
137	133-0	15	17	0	15	17
138	303-0	19	21	0	19	21
139	447-0	16	18	0	16	18
140	447-0	16	18	20	26	28
141	447-0	16	18	40	26	28
142	148-0	31	32	0	31	32
143	148-0	31	32	20	41	42
144	148-0	31	32	40	41	42
145	705-0	41	42	0	41	42
146	705-0	41	42	20	51	52
147	705-0	41	42	40	51	52
148	701-0	22	24	0	22	24
149	701-0	22	24	20	32	34
150	701-0	22	24	40	32	34
151	587-0	18	20	0	18	20
152	559-0	21	23	0	21	23
153	714-0	20	22	0	20	22
154	168-0	23	25	0	23	25
155	225-0	31	33	0	31	33
156	246-0	21	23	0	21	23
157	246-0	21	23	20	31	33
158	246-0	21	23	40	31	33
159	359-0	17	19	0	17	19
160	359-0	17	19	20	27	29
161	359-0	17	19	40	27	29
