中文名	编号	X	Z	Y	图标	链接
１号野生特区	1	2372	0	3824	zone	area/１号野生特区
２号野生特区	2	2572	0	2748	zone	area/２号野生特区
３号野生特区	3	2048	0	1100	zone	area/３号野生特区
４号野生特区	4	2340	0	564	zone	area/４号野生特区
５号野生特区	5	1716	0	2472	zone	area/５号野生特区
６号野生特区	6	3796	0	2160	zone	area/６号野生特区
７号野生特区	7	1176	0	1768	zone	area/７号野生特区
８号野生特区	8	2956	0	1732	zone	area/８号野生特区
９号野生特区	9	484	0	2352	zone	area/９号野生特区
１０号野生特区	10	588	0	2728	zone	area/１０号野生特区
１１号野生特区	11	3412	0	2468	zone	area/１１号野生特区
１２号野生特区	12	1736	0	3396	zone	area/１２号野生特区
１３号野生特区	13	1628	0	252	zone	area/１３号野生特区
１４号野生特区	14	376	0	1768	zone	area/１４号野生特区
１５号野生特区	15	3352	0	708	zone	area/１５号野生特区
１６号野生特区	16	1484	0	2820	zone	area/１６号野生特区
１７号野生特区	17	3176	0	3208	zone	area/１７号野生特区
１８号野生特区	18	792	0	660	zone	area/１８号野生特区
１９号野生特区	19	3360	0	1256	zone	area/１９号野生特区
２０号野生特区	20	2048	0	2048	zone	area/２０号野生特区
宝可梦中心：翡绿	101	3064	0	3540	pc	
宝可梦中心：浦蓝	102	1052	0	3540	pc	
宝可梦中心：春日大道	103	1980	0	3184	pc	
宝可梦中心：蓉粉	104	376	0	1360	pc	
宝可梦中心：粉色广场	105	1356	0	1934	pc	
宝可梦中心：榴红	106	2132	0	240	pc	
宝可梦中心：中央	107	2114	0	1660	pc	
宝可梦中心：琼黄	108	3712	0	1360	pc	
宝可梦中心：冬日大道	109	2808	0	1128	pc	
龙卷风咖啡馆	201	2800	0	2912	cafe	
时髦咖啡馆	202	2088	0	3144	cafe	
帕生咖啡店	203	2916	0	3628	cafe	
新咖啡	204	2236	0	2380	cafe	
汪汪咖啡馆	205	1972	0	2972	cafe	
旭日咖啡馆	206	604	0	3156	cafe	
定焦咖啡馆	207	428	0	2644	cafe	
新咖啡２号店	208	1312	0	3528	cafe	
友友乐咖啡馆	209	1328	0	1216	cafe	
回旋咖啡馆	210	648	0	2420	cafe	
英俊咖啡馆	211	1364	0	2212	cafe	
罗雀咖啡馆	212	596	0	1048	cafe	
新咖啡３号店	213	1056	0	2000	cafe	
极训咖啡馆	214	3256	0	688	cafe	
开拍咖啡馆	215	3567	0	1016	cafe	
牵绊咖啡馆	216	2876	0	1000	cafe	
对战迷咖啡馆	217	3880	0	1948	cafe	
棱镜塔	301	2040	0	2304	building	
密阿雷南站	302	3196	0	3636	building	
宝可梦研究所	303	2184	0	3952	building	
旅馆Ｚ	304	2680	0	3512	building	
木根工程	305	3462	0	3201	building	
谱通餐馆	306	3676	0	2756	building	
锈蚀组事务所	307	1332	0	2528	building	
密阿雷下水道	308	1912	0	2784	building	area/下水道 1
阔星公司	309	1096	0	1000	building	
密阿雷下水道	310	584	0	1504	building	area/下水道 2
秀丽世大酒店	311	3048	0	420	building	
帅哥侦探事务所	312	1856	0	860	building	
密阿雷美术馆	313	2468	0	180	building	
贰流餐馆	314	1312	0	948	building	
回转梦想家高级餐厅	315	2112	0	780	building	
鼎极餐馆	316	2400	0	1456	building	
正义社道场	317	2804	0	2040	building	
弗拉达利研究所	318	1420	0	1584	building	area/弗拉达利研究所
	319	1380	0	2961	building	
	320	1323	0	1830	building	
	321	3150	0	1701	building	
全息传送梯	1001	1118	0	482	holovator	
全息传送梯	1002	1996	0	772	holovator	
全息传送梯	1003	1802	0	1182	holovator	
全息传送梯	1004	2638	0	814	holovator	
全息传送梯	1005	3054	0	764	holovator	
全息传送梯	1006	2772	0	1214	holovator	
全息传送梯	1007	3612	0	1542	holovator	
全息传送梯	1008	3072	0	2068	holovator	
全息传送梯	1009	3874	0	2174	holovator	
全息传送梯	1010	2872	0	2920	holovator	
全息传送梯	1011	2088	0	3226	holovator	
全息传送梯	1012	1668	0	3068	holovator	
全息传送梯	1013	2126	0	3700	holovator	
全息传送梯	1014	3310	0	3374	holovator	
全息传送梯	1015	2334	0	3054	holovator	
全息传送梯	1016	2240	0	3128	holovator	
全息传送梯	1017	1524	0	3798	holovator	
全息传送梯	1018	746	0	3318	holovator	
全息传送梯	1019	974	0	2468	holovator	
全息传送梯	1020	1214	0	2248	holovator	
全息传送梯	1021	524	0	1436	holovator	
全息传送梯	1022	1032	0	1556	holovator	
全息传送梯	1023	1580	0	1510	holovator	
梯子	2001	3344	0	843	ladder	
梯子	2002	2300	0	3792	ladder	
