编号	名称	地点	X	Y	头目	宝可梦列表
1	spn_outzone_a0201_050	浦蓝７号街区	1900	3787		013-0+6+8
2	spn_outzone_a0201_051	浦蓝７号街区	1287	3556		013-0+6+8
3	spn_outzone_a0201_106	浦蓝７号街区	1426	3736		016-0+6+8
4	spn_outzone_a0201_153	浦蓝７号街区	1626	3742		069-0+10+12
5	spn_outzone_a0201_155	浦蓝７号街区	1600	3790		069-0+10+12
6	spn_outzone_a0201_156	浦蓝７号街区	1628	3798		069-0+10+12
7	spn_outzone_a0201_201	浦蓝７号街区	1428	3686		129-0+11+13
8	spn_outzone_a0201_250	浦蓝７号街区	1749	3770		167-0+11+13
9	spn_outzone_a0201_352	浦蓝７号街区	1353	3695		504-0+12+14
10	spn_outzone_a0201_353	浦蓝７号街区	1345	3718		504-0+12+14
11	spn_outzone_a0201_456	浦蓝７号街区	1711	3668		661-0+6+8
12	spn_outzone_a0201_502	浦蓝７号街区	1854	3826		669-3+10+12
13	spn_outzone_a0201_503	浦蓝７号街区	1963	3731		669-3+10+12
14	spn_outzone_a0201_800	浦蓝７号街区	1232	3656		017-0+19+21
15	spn_outzone_a0201_950	浦蓝７号街区	1278	3625		664-6+6+8
16	spn_outzone_a0201_A00	浦蓝７号街区	1332	3640		665-6+10+12
17	spn_outzone_a0201_G00	浦蓝７号街区	1583	3737		280-0+11+13+20+10
18	spn_outzone_a0201_G60	浦蓝７号街区	1098	3565		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
19	spn_outzone_a0201_G61	浦蓝７号街区	1054	3566		511-0+14+17+++33.33|513-0+14+17+++33.33|515-0+14+17+++33.33
20	spn_outzone_a0201_J00	浦蓝７号街区	1451	3657		133-0+15+17++++日+晴
21	spn_outzone_a0201_L01	浦蓝７号街区	1255	3603		704-0+35+39+20+10+95++雨|705-0+41+42+20+10+5++雨
22	spn_outzone_a0201_O50	浦蓝７号街区	1796	3726		246-0+21+23+20+10
23	spn_outzone_a0201_P00	浦蓝７号街区	1397	3673		333-0+16+18+++10++晴|016-0+6+8+++90++晴
24	spn_outzone_a0201_100	发呆公园	1820	3186		016-0+6+8
25	spn_outzone_a0201_101	发呆公园	1815	3186		016-0+6+8
26	spn_outzone_a0201_150	发呆公园	1972	3449		069-0+10+12
27	spn_outzone_a0201_151	发呆公园	1971	3632		069-0+10+12
28	spn_outzone_a0201_302	发呆公园	1972	3483		406-0+11+13
29	spn_outzone_a0201_303	发呆公园	1970	3501		406-0+11+13
30	spn_outzone_a0201_307	发呆公园	1962	3246		406-0+11+13
31	spn_outzone_a0201_459	发呆公园	1587	3275		661-0+6+8
32	spn_outzone_a0201_461	发呆公园	1818	3665		661-0+6+8
33	spn_outzone_a0201_500	发呆公园	1970	3556		669-4+10+12
34	spn_outzone_a0201_501	发呆公园	1972	3575		669-4+10+12
