中文名	风味	说明	0	1	2	3
头目力	甜	容易遇见头目。	0.01	0.11	0.21	0.51
闪耀力	甜	容易遇见异色宝可梦。		判定次数+1	判定次数+2	判定次数+3
大大力	甜	大型宝可梦的遭遇率会提高。	数值范围 0-255	数值范围 128-255	数值范围 160-255	数值范围 224-255
小小力	甜	小型宝可梦的遭遇率会提高。	数值范围 0-255	数值范围 0-127	数值范围 0-95	数值范围 0-31
攻击力	辣	同行宝可梦的攻击会提高。		+10%	+25%	+50%
特攻力	辣	同行宝可梦的特攻会提高。		+10%	+25%	+50%
招式力	辣	特定属性的招式威力会提高。		+10%	+25%	+50%
速度力	辣	同行宝可梦的速度会提高。		+10%	+25%	+50%
多多力	酸	获得的道具数量会增加。				
道具力	酸	容易获得（某种道具）。				
超级力：蓄力	酸	容易累积超级能。		+10%	+25%	+50%
超级力：持久	酸	超级进化的维持时间会变长。		+30%	+50%	+100%
防御力	苦	同行宝可梦的防御会提高。		+10%	+25%	+50%
特防力	苦	同行宝可梦的特防会提高。		+10%	+25%	+50%
免疫力	苦	特定属性的招式伤害会减少。		-10%	-20%	-35%
遭遇力	鲜	遇见的宝可梦数量会增加。		生成时间-70%	生成时间-50%	生成时间-30%
捕获力	鲜	容易捕捉特定属性的宝可梦。		+10%	+20%	+30%
