X	Z	Y
166	54	1740
257	76	2733
295	16	2050
295	53	2051
499	23	935
516	-45	2164
525	70	1354
525	26	3217
566	28	925
603	39	2273
625	65	1774
625	18	1786
680	-20	888
765	16	1342
789	-22	832
817	36	2854
827	63	2861
915	76	1840
1097	28	398
1129	45	385
1254	3	2613
1269	-9	3010
1303	2	3169
1315	-28	726
1324	-16	945
1350	26	3125
1383	9	3663
1395	1	3050
1447	-2	369
1479	41	3633
1504	24	718
1521	17	3354
1582	32	1284
1605	26	1209
1616	60	2145
1630	-16	1177
1653	41	1682
1669	59	3924
1676	32	3918
1728	61	515
1777	33	3059
1840	25	1353
1863	9	919
1891	68	1419
1953	-2	548
1975	47	2798
1986	8	3713
1988	61	505
1998	49	3811
2187	-5	2956
2229	64	3053
2244	45	160
2260	29	2960
2285	20	2752
2334	33	164
2341	4	3333
2345	59	2253
2396	41	1391
2474	55	1153
2477	-23	277
2484	-35	1534
2487	75	2420
2490	50	3387
2494	47	3067
2517	40	2259
2556	-5	1639
2586	19	997
2628	65	1942
2682	-26	1641
2692	38	1237
2702	63	531
2704	18	594
2722	45	488
2762	7	2405
2767	-27	1977
2784	58	3351
2786	4	2549
2876	-33	3400
2877	49	1462
2924	44	756
2968	-14	2888
3002	63	1154
3039	55	2964
3079	15	2028
3196	-27	1321
3229	-4	2290
3321	7	3163
3359	-40	1855
3412	60	3272
3421	26	2983
3432	-13	910
3438	-25	2021
3474	-51	1877
3587	15	1142
3670	41	3032
3683	16	1231
3707	31	2746
3713	-17	1728
3759	-12	1827
3432	0	3192
