分类	编号	X	Z	Y	委托人	中文名	奖金	道具	宝可梦
主	1	0	0	0		拿回旅行包	0		菊草叶Lv.5|暖暖猪Lv.5|小锯鳄Lv.5
主	2	0	0	0		逃离对战特区	0	２０２号客房的钥匙	
主	3	0	0	0		密阿雷生活开幕	0		
主	4	0	0	0		参加ＺＡ登峰战	0		
主	5	0	0	0		仰望棱镜塔的城市	0	彩色螺丝|红色卡娜莉玩偶	
主	6	0	0	0		争取达到Ｘ级	0		
主	7	0	0	0		争取达到Ｗ级	0		
主	8	0	0	0		争取达到Ｖ级	0	玳萝的遗忘物	
主	9	0	0	0		追踪神秘的宝可梦	0	阿勃梭鲁进化石	阿勃梭鲁Lv.30
主	10	0	0	0		超级进化的秘密	0	招式学习器０５１|大竺葵进化石|炎武王进化石|大力鳄进化石|小石头	
主	11	0	0	0		失控超级呆壳兽	0	呆壳兽进化石	
主	12	0	0	0		失控超级喷火驼	0	喷火驼进化石	
主	13	0	0	0		失控超级大食花	0	大食花进化石	
主	14	0	0	0		争取达到Ｅ级	0	厉害密阿雷格雷派饼|招式学习器０６６|签名玩偶	
主	15	0	0	0		超Ｚ队的任务	0		
主	16	0	0	0		失控超级大针蜂	0	大针蜂进化石	
主	17	0	0	0		失控超级摔角鹰人	0	摔角鹰人进化石	
主	18	0	0	0		失控超级诅咒娃娃	0	诅咒娃娃进化石	
主	19	0	0	0		争取达到Ｄ级	0	精通种子|高级球×10|招式学习器０１１	钥圈儿Lv.1
主	20	0	0	0		锈蚀组的要求	0		
主	21	0	0	0		失控超级大嘴娃	0	大嘴娃进化石	
主	22	0	0	0		失控超级龟足巨铠	0	龟足巨铠进化石	
主	23	0	0	0		失控超级电龙	0	电龙进化石	
主	24	0	0	0		争取达到Ｃ级	0	招式学习器１００	
主	25	0	0	0		在对战场打宝可梦对战	0		
主	26	0	0	0		来自ＭＳＢＣ的邀请函	0		
主	27	0	0	0		失控超级雪妖女	0	雪妖女进化石	
主	28	0	0	0		失控超级七夕青鸟	0	七夕青鸟进化石	
主	29	0	0	0		失控超级妙蛙花	0	妙蛙花进化石	
主	30	0	0	0		争取达到Ｂ级	0	招式学习器０２０	
主	31	0	0	0		马斯卡托的召唤	0		
主	32	0	0	0		失控超级快龙	0	快龙进化石	
主	33	0	0	0		失控超级班基拉斯	0	班基拉斯进化石	
主	34	0	0	0		失控超级宝石海星	0	宝石海星进化石	
主	35	0	0	0		争取达到Ａ级	0	研究所的钥匙卡Ａ|研究所的钥匙卡Ｂ|研究所的钥匙卡Ｃ|电梯钥匙|招式学习器１０４	
主	36	0	0	0		棱镜塔的异变	0		
主	37	0	0	0		密阿雷守卫大作战	0	基格尔德进化石	
主	38	0	0	0		今后的密阿雷市	0		
主	39	0	0	0		ＺＡ登峰战∞	0	花叶蒂进化石	花叶蒂-5Lv.1
主	40	0	0	0		给予者	0		哲尔尼亚斯Lv.75
主	41	0	0	0		掠夺者	0		伊裴尔塔尔Lv.75
主	42	0	0	0		如何保持世界的平衡	0		基格尔德Lv.84
异	1	0	0	0		异次元密阿雷调查文件 #1	0		
异	2	0	0	0		春紫来袭！！	0		
异	3	0	0	0		异次元密阿雷调查文件 #2	0		
异	4	0	0	0		美术馆与咖啡	0		
异	5	0	0	0		作战会议室的声响	0		
异	6	0	0	0		异次元密阿雷调查文件 #3	0		
异	7	0	0	0		琵鲁的状况如何？	0		
异	8	0	0	0		异次元密阿雷调查文件 #4	0		
异	9	0	0	0		异次元密阿雷调查文件 #5	0		
异	10	0	0	0		深夜的骚动	0		
异	11	0	0	0		异次元密阿雷调查文件 #6	0		
异	12	0	0	0		最棒的礼物	0		烈空坐Lv.1
异	13	0	0	0		朱红色传说	0	朱红色宝珠	固拉多Lv.1
异	14	0	0	0		靛蓝色传说	0	靛蓝色宝珠	盖欧卡Lv.1
副	1	2315	127	1059	吕犹	巨大的掘掘兔	400	美味之水×2	
副	2	2182	127	345	娇环	好想使用进化用的石头！	800	精灵球×5|伤药×3	赫拉克罗斯Lv.12
副	3	2092	127	569	惠艺	墓地的勾魂眼	4000	纪念戒指|活力碎片×2	
副	4	1808	127	1194	修西	休息时间打一场！	1200	经验糖果Ｓ×3|美味之水	
