编号	中文名	日文名	英文名	属性	分类	威力	发动时间	说明
7	火焰拳	ほのおのパンチ	Fire Punch	火	物理	75	7	用充满火焰的拳头进行攻击。有时也会让对手陷入灼伤状态。
8	冰冻拳	れいとうパンチ	Ice Punch	冰	物理	75	7	用充满寒气的拳头进行攻击。有时也会让对手陷入冰冻状态。
9	雷电拳	かみなりパンチ	Thunder Punch	电	物理	75	7	用充满电流的拳头进行攻击。有时也会让对手陷入麻痹状态。
14	剑舞	つるぎのまい	Swords Dance	一般	变化	—	15	激烈地跳起战舞，在一段时间内提高自己的攻击。
16	起风	かぜおこし	Gust	飞行	特殊	40	6	用翅膀将刮起的狂风袭向对手进行攻击。
17	翅膀攻击	つばさでうつ	Wing Attack	飞行	物理	60	6	大大地展开美丽的翅膀，将其撞向对手进行攻击。
18	吹飞	ふきとばし	Whirlwind	一般	变化	—	7	掀起强风，将对手远远地向后吹飞。
19	飞翔	そらをとぶ	Fly	飞行	物理	90	12	飞上天空隐藏踪影，片刻之后瞄准对手进行攻击。
22	藤鞭	つるのムチ	Vine Whip	草	物理	45	6	用如同鞭子般弯曲而细长的藤蔓摔打对手进行攻击。
29	头锤	ずつき	Headbutt	一般	物理	70	7	将头伸出，笔直地扑向对手进行攻击。有时也会使对手畏缩。
33	撞击	たいあたり	Tackle	一般	物理	40	4	用整个身体撞向对手进行攻击。
34	泰山压顶	のしかかり	Body Slam	一般	物理	85	8	用整个身体压住对手进行攻击。有时也会让对手陷入麻痹状态。
36	猛撞	とっしん	Take Down	一般	物理	90	8	以惊人的气势撞向对手进行攻击。自己也会受到伤害。
38	舍身冲撞	すてみタックル	Double-Edge	一般	物理	120	10	拼命地猛撞向对手进行攻击。自己也会受到伤害。
39	摇尾巴	しっぽをふる	Tail Whip	一般	变化	—	7	可爱地左右摇晃尾巴，诱使对手疏忽大意。会在一小段时间内降低对手的防御。
40	毒针	どくばり	Poison Sting	毒	物理	30	6	刺入有毒的针进行攻击。有时也会让对手陷入中毒状态。
42	飞弹针	ミサイルばり	Pin Missile	虫	物理	15	6	连续发射５次锐针进行攻击。
43	瞪眼	にらみつける	Leer	一般	变化	—	6	用犀利的眼神使对手害怕，从而在一小段时间内降低对手的防御。
44	咬住	かみつく	Bite	恶	物理	60	6	用尖锐的牙咬紧进行攻击。有时也会使对手畏缩。
45	叫声	なきごえ	Growl	一般	变化	—	6	让对手听可爱的叫声并使其疏忽，从而在一小段时间内降低对手的攻击。
46	吼叫	ほえる	Roar	一般	变化	—	6	发出响亮的声音惊吓对手，将对手远远地向后吹飞。
48	超音波	ちょうおんぱ	Supersonic	一般	变化	—	6	从身体发出特殊的音波，从而使对手混乱。
52	火花	ひのこ	Ember	火	特殊	40	6	发射小型火焰进行攻击。有时也会让对手陷入灼伤状态。
53	喷射火焰	かえんほうしゃ	Flamethrower	火	特殊	90	8	发射烈焰进行攻击。有时也会让对手陷入灼伤状态。
54	白雾	しろいきり	Mist	冰	变化	—	10	用白雾覆盖四周。在雾中的宝可梦不会让对手降低自己的能力。
55	水枪	みずでっぽう	Water Gun	水	特殊	40	6	向对手猛烈地喷射水流进行攻击。
56	水炮	ハイドロポンプ	Hydro Pump	水	特殊	110	12	向对手猛烈地喷射大量水流进行攻击。
57	冲浪	なみのり	Surf	水	特殊	90	8	利用大浪攻击周围所有的对象。
58	冰冻光束	れいとうビーム	Ice Beam	冰	特殊	90	8	发射冰冻光束进行攻击。有时也会让对手陷入冰冻状态。
59	暴风雪	ふぶき	Blizzard	冰	特殊	110	12	吹起猛烈的暴风雪进行攻击。有时也会让对手陷入冰冻状态。
60	幻象光线	サイケこうせん	Psybeam	超能力	特殊	65	6	发射神奇的光线进行攻击。有时也会使对手混乱。
61	泡沫光线	バブルこうせん	Bubble Beam	水	特殊	65	6	猛烈地喷射泡沫进行攻击。有时也会使对手的动作变得迟缓。
